id,course_code,course_title
60,ANTHROP 3X03,Zooarchaeology
61,ANTHROP 3Y03,Indigenous Community Health and Wellbeing
62,ANTHROP 4AA3,"Materiality, Matter and Social Lives"
63,ANTHROP 4AH3,"Archaeology and Heritage: Ethics, Politics, and Practice"
64,ANTHROP 4B03,Current Problems in Sociocultural Anthropology I
65,ANTHROP 4BB3,Current Problems in Sociocultural Anthropology II
66,ANTHROP 4CC3,Archaeology of Foodways
67,ANTHROP 4CL3,Archaeology of Climate Change and Culture
68,ANTHROP 4CP3,Cultural Politics of Food and Eating
69,ANTHROP 4D03,"Practicing Anthropology: Ethics, Theory, Engagement"
70,ANTHROP 4DD3,Anthropology of Zombies and the Undead
71,ANTHROP 4DN3,Diet and Nutrition in Biocultural Perspective
72,ANTHROP 4E03,Advanced Topics in Archaeology I
73,ANTHROP 4EE3,Advanced Topics in Archaeology II
74,ANTHROP 4FF3,Digging the City: The Archaeology of Urbanism
75,ANTHROP 4G03,Independent Research I
76,ANTHROP 4GG3,Independent Research II
77,ANTHROP 4HF3,Archaeology of Hunter-Fisher-Gatherers
78,ANTHROP 4HH3,Archaeologies of Space and Place
79,ANTHROP 4J03,Advanced Topics in Biological Anthropology I
80,ANTHROP 4JJ3,Advanced Topics in Biological Anthropology II
81,ANTHROP 4KK3,The Archaeology of Neanderthals and Other Early Humans
82,ANTHROP 4LL3,Critical Global Health
83,ANTHROP 4MM3,"Borders, Migration, Refuge"
84,ANTHROP 4NE3,"Narrative, Ethnography, Writing"
85,ANTHROP 4R03,Advanced Bioarchaeology and Skeletal Biology
86,ANTHROP 4S03,The Anthropology of Infectious Disease
87,ANTHROP 4SG3,The Secret of the Gift
88,ARABIC 2AA3,Introduction to Modern Standard Arabic
89,ARABIC 2AR3,Introduction to Modern Standard Arabic II
90,ARABIC 3AA3,Intermediate Modern Standard Arabic
91,ARABIC 3GH3,Spoken Moroccan Arabic
92,ART 1TI3,Making Art and Understanding Technology & Images
93,ART 1UI3,Making Art and Understanding Images
94,ART 2AA3,Introduction to the Practice of Art Therapy
95,ART 2ER3,Environmentally Responsible Art
96,ART 3BA3,Book Arts and Zines
97,ART 3CC3,Concentrated Study Ceramics
98,ART 3CF3,Concentrated Study Foundry
99,ART 3CI3,Concentrated Study Intaglio
100,ART 3CL3,Concentrated Study Lithography
101,ART 3D03,Practical Issues
102,ART 3EA3,Social Practice and Community-Engaged Art
103,ART 3FW3,Field Work: On-Site Explorations
104,ART 3GS6 ,Guided Studio Practice
105,ART 3ID3,Integrated Media and Materiality: Installation and Performance
106,ART 3IM3,Transdisciplinary and Hybrid Studio Practices
107,ART 3PD3,New Directions in Painting and Drawing
108,ART 3VA3,Video Art and Digital Cinema
109,ART 4AP3,"Contemporary Art Practices of Intervention, Performance and Conceptual Art"
110,ART 4AR3,Advanced Research and Presentation Strategies
111,ART 4AS6 ,Advanced Studio Production and Critical Discourse
112,ART 4CC3,Concentrated Study Ceramics
113,ART 4CI3,Concentrated Study Intaglio
114,ART 4CL3,Concentrated Study Lithography
115,ART 4EP3,Exhibition Preparation and Documentation
116,ART 4PR3,Professional Residency
117,ARTHIST 2B03,Greek Art
118,ARTHIST 2C03,Roman Art
119,ARTHIST 2DF3,"From the Guillotine to the Eiffel Tower, France 1789-1889"
120,ARTHIST 2FA3,Film Analysis
121,ARTHIST 2H03,Aesthetics
122,ARTHIST 2Y03,"Performance, Art and Visual Culture in the Middle East"
123,ARTHIST 2Z03,"Performance, Art and Visual Culture in East and South Asia"
124,ARTHIST 3BB3,Indigenous Art and Visual Culture in Canada
125,ARTHIST 3DF3,Art and Politics in Second Empire France
126,ARTHIST 3FL3,Early Cinema History
127,ARTHIST 3Q03,Colours of the World
128,ARTHIST 3QQ3,Greek Sanctuaries
129,ARTHIST 3SS3,"Pompeii, Herculaneum, and Ostia"
130,ARTHIST 3XX3,Cinema History from WWII
131,ARTHIST 3Z03,Intercultural Arts Along the Silk Road
132,ARTHIST 4AP3,"Contemporary Art Practices of Intervention, Performance and Conceptual Art"
133,ARTHIST 4LP3,"The Cultural History of Paris, 1789-1914"
134,ARTHIST 4O06 ,Thesis
135,ARTHIST 4U03,The Severe Style in Greek Art
136,ARTHIST 4Z03,Gender and the Textile Arts
137,ARTSSCI 1A03,Practices of Knowledge
138,ARTSSCI 1AA3,Contemporary Indigenous Studies
139,ARTSSCI 1B03,Writing
140,ARTSSCI 1BB3,Argumentation
141,ARTSSCI 1C06 ,Global Challenges Inquiry
142,ARTSSCI 1D06 ,Calculus
143,ARTSSCI 2A06 ,Social and Political Thought
144,ARTSSCI 2D06 ,Physics
145,ARTSSCI 2E03,Economics: Principles and Policy
146,ARTSSCI 2R03,Applied Statistical Inference
147,ARTSSCI 3B03,Technology and Society I
148,ARTSSCI 3BB3,Technology and Society II
149,ARTSSCI 3C03,Coding Inquiry
150,ARTSSCI 3CL3,"Theatre, Self, and Social Development"
151,ARTSSCI 3CU3,Alumni Experience Inquiry
152,ARTSSCI 3EH3,Exploring Hamilton Inquiry
153,ARTSSCI 3F03,Experiential Project in Teaching and Learning
154,ARTSSCI 3GJ3,Global Justice Inquiry
155,ARTSSCI 3RL3,Religion and Law
156,ARTSSCI 3S03,The East Asian Religious Tradition
157,ARTSSCI 3TR3,Trees and Their Histories
158,ARTSSCI 3X03,Individual Study
159,ARTSSCI 4A06 ,Individual Study
160,ARTSSCI 4A09 ,Individual Study
161,ARTSSCI 4C06 ,Thesis
162,ARTSSCI 4C09 ,Thesis
163,ARTSSCI 4CB3,Education Inquiry
164,ARTSSCI 4CD3,Research and Creative Writing
165,ARTSSCI 4CF3,How Science Speaks to Power
166,ARTSSCI 4CI3,Diversity and Human Rights Inquiry
167,ARTSSCI 4CP3,Media Inquiry
168,ARTSSCI 4CT3,Medical Humanities Inquiry
169,ARTSSCI 4DS3,Digital Society and Public Policy
170,ARTSSCI 4EP3,Environmental Policy Inquiry
171,ARTSSCI 4GS3,Theories from the Global South
172,ARTSSCI 4HS3,History of Science Inquiry
173,ARTSSCI 4LI3,Literature Inquiry I
174,ARTSSCI 4LT3,Literature Inquiry II
175,ARTSSCI 4MB3,Beauty and Truth in Mathematics and Sciences
176,ARTSSCI 4MN1,Local Explorations
177,ARTSSCI 4MN2,Movement and Integration
178,ARTSSCI 4ST3,Selected Topics in Inquiry
179,ARTSSCI 4VC3,Visual Culture Inquiry
180,ASTRON 1F03,Introduction to Astronomy and Astrophysics
181,ASTRON 2A03,Perspectives on Indigenous and Eurocentric Astronomy
182,ASTRON 2B03,The Big Questions
183,ASTRON 2E03,Planetary Astronomy
184,ASTRON 3X03,Galaxies and Cosmology
185,ASTRON 3Y03,Stellar Structure
186,ASTRON 4X03,Data Analysis Project Course
187,ASTRON 5X03 ,Graduate Topics in Astrophysics
188,AUTOTECH 2AC3,Advanced CAD
189,AUTOTECH 2AE3,Design of Machine Elements
190,AUTOTECH 2CD3,Computer Aided Design
191,AUTOTECH 2MT3,Structure and Properties of Materials
192,AUTOTECH 2TS3,Thermodynamics and Heat Transfer
193,AUTOTECH 3AE3,Automotive Engineering Technology
194,AUTOTECH 3AV3,Electric and Hybrid Vehicles
195,AUTOTECH 3CT3,Control Theory
196,AUTOTECH 3MP3,Manufacturing Processes and Systems
197,AUTOTECH 3MV3,Mechatronics
198,AUTOTECH 3TS3,Fluid Mechanics
199,AUTOTECH 3VD3,Mechanical Vibrations
200,AUTOTECH 4AE3,Internal Combustion Engines
201,AUTOTECH 4AT3,Conceptual Design of Electric and Hybrid Vehicles
202,AUTOTECH 4BE3,Battery and Energy Storage Systems I
203,AUTOTECH 4CI3,Robotics and Computer Integrated Manufacturing
204,AUTOTECH 4DV3,Vehicle Dynamics
205,AUTOTECH 4EC3,Electrical and Electronics Control Systems
206,AUTOTECH 4MS3,Kinematic and Dynamic Modelling and Simulation
207,AUTOTECH 4TR1,Capstone Design I
208,AUTOTECH 4TR3,Capstone Design II
209,BIOCHEM 2B03,Nucleic Acid Structure and Function
210,BIOCHEM 2BB3,Protein Structure and Enzyme Function
211,BIOCHEM 2EE3,Metabolism and Physiological Chemistry
212,BIOCHEM 2L06 ,Inquiry in Biochemical Techniques
213,BIOCHEM 3A03,Biochemical Research Practice
214,BIOCHEM 3AB3,Antibiotics are the Cornerstone of Medicine
215,BIOCHEM 3BP3,Practical Bioinformatics in the Genomics Era
216,BIOCHEM 3CB3,Emerging Discovery in Cell Biology
217,BIOCHEM 3D03,Metabolism and Regulation
218,BIOCHEM 3G03,Proteins and Nucleic Acids
219,BIOCHEM 3GN3,Biochemical and Molecular Foundations of Genetics
220,BIOCHEM 3H03,Clinical Biochemistry
221,BIOCHEM 3LA3,Advanced Biochemistry Techniques
222,BIOCHEM 3LT3,Fundamental and Applied Biochemical Techniques
223,BIOCHEM 3MI3,Microbial Interactions
224,BIOCHEM 3R03,Clinical Research Project
225,BIOCHEM 3R06 ,Research Project
226,BIOCHEM 3Z03,Structural Determination and Analysis of Macromolecules
227,BIOCHEM 4C03,Inquiry in Biochemistry
228,BIOCHEM 4E03,Gene Regulation in Stem Cells and Development
229,BIOCHEM 4F09 ,Senior Thesis
230,BIOCHEM 4H03,Biotechnology and Drug Discovery
231,BIOCHEM 4J03,Immunological Principles in Practice
232,BIOCHEM 4M03,Cellular and Integrated Metabolism
233,BIOCHEM 4N03,Molecular Membrane Biology
234,BIOCHEM 4Q03,Biochemical Pharmacology
235,BIOCHEM 4S03,Introduction to Molecular Biophysics
236,BIOCHEM 4T15 ,Senior Thesis
237,BIOCHEM 4Z03,Senior Project
238,BIOLOGY 1A03,Cellular and Molecular Biology
239,BIOLOGY 1M03,"Biodiversity, Evolution and Humanity"
240,BIOLOGY 1P03,Introductory Biology
241,BIOLOGY 2A03,Integrative Physiology of Animals
242,BIOLOGY 2B03,Cell Biology
243,BIOLOGY 2C03,Genetics
244,BIOLOGY 2D03,Plant Biodiversity and Biotechnology
245,BIOLOGY 2EE3,Introduction to Microbiology and Biotechnology
246,BIOLOGY 2F03,Fundamental and Applied Ecology
247,BIOLOGY 2L03,The Scientific Method in Biology
248,BIOLOGY 3AA3,Fundamental Concepts of Pharmacology
249,BIOLOGY 3B03,Plant Physiology
250,BIOLOGY 3DD3,Communities and Ecosystems
251,BIOLOGY 3EI3,Ecological Indicators
252,BIOLOGY 3EP3 ,Applied Biology Placement
253,BIOLOGY 3ET3,Ecotoxicology
254,BIOLOGY 3FF3,Evolution
255,BIOLOGY 3HD3,Human Disasters
256,BIOLOGY 3IR3 ,Independent Research Project
257,BIOLOGY 3JJ3,Field Methods In Ecology
258,BIOLOGY 3MM3,Invertebrate Form and Function
259,BIOLOGY 3P03,Cell Physiology
260,BIOLOGY 3PG3,Population Genetics
261,BIOLOGY 3R03,Field Biology I
262,BIOLOGY 3RF0,Field Work I
263,BIOLOGY 3S03,An Introduction to Bioinformatics
264,BIOLOGY 3SA3,Applied Statistics for Biology
265,BIOLOGY 3SS3,Population Ecology
266,BIOLOGY 3U03,Animal Physiology - Homeostasis
267,BIOLOGY 3UU3,Animal Physiology - Regulatory Systems
268,BIOLOGY 3XL3,Comparative Vertebrate Anatomy & Physiology
269,BIOLOGY 3ZZ3,Topics in Physiology
270,BIOLOGY 4A03,Advanced Topics in Ecology
271,BIOLOGY 4AA3,Conservation Biology
272,BIOLOGY 4AE3,The Ecology and Evolution of Organisms
273,BIOLOGY 4C12 ,Senior Thesis
274,BIOLOGY 4F06 ,Senior Project
275,BIOLOGY 4IR3,Advanced Independent Research Project
276,BIOLOGY 4J03,Field Biology II
277,BIOLOGY 4JF0,Field Work II
278,BIOLOGY 4PP3,Environmental Microbiology and Biotechnology
279,BIOLOGY 4T03,Molecular and Cellular Neuroscience
280,BIOLOGY 4X03,Environmental Physiology
281,BIOMEDDC 2C03,Exploring Careers in Biomedical Sciences
282,BIOMEDDC 2W03,Write Right for Your Science: Scientific Writing for the Biomedical Sciences
283,BIOMEDDC 3A03,Ideas to Innovation in Biomedical Sciences
284,BIOMEDDC 3B06 ,Drug Discovery and Development
285,BIOMEDDC 3C06,Research Skills Laboratory and Inquiry
286,BIOMEDDC 3C09 ,Research Skills Laboratory and Inquiry
287,BIOMEDDC 3WR3,Biochemistry and Biomedical Scientific Writing: Right your Write
288,BIOMEDDC 4A15 ,Senior Research Thesis
289,BIOMEDDC 4B03,Road to Biomedical Commercialization
290,BIOPHYS 1S03,Biophysics of Movement and the Senses: From Microbes to Moose
291,BIOPHYS 2A03,Biophysics of the Cell and Living Organisms
292,BIOPHYS 2S03,Explorations in Medical and Biological Physics
293,BIOPHYS 3D03,Origin of Life
294,BIOPHYS 3G03,Modelling Life
295,BIOPHYS 3S03,‘Squishy Physics’: Physics of Soft Matter
296,BIOPHYS 4L03 ,Literature Review
297,BIOPHYS 4P06 ,Senior Research Project
298,BIOPHYS 4S03,Introduction to Molecular Biophysics
299,BIOSAFE 1BS0,Biosafety Training
300,BIOTECH 2B03,Biotechnology Concepts
301,BIOTECH 2BC3,Biochemistry
302,BIOTECH 2CB3,Cell Biology
303,BIOTECH 2EC3,Chemical Engineering Concepts
304,BIOTECH 2GT3,Genetics
305,BIOTECH 2M03,Molecular Biology
306,BIOTECH 2MB3,Microbiology
307,BIOTECH 2OC3,Organic Chemistry
308,BIOTECH 3B03,Industrial Biotechnology
309,BIOTECH 3BC3,Bioprocess Control and Dynamics
310,BIOTECH 3BP3,Bioreactor Processes and Design
311,BIOTECH 3CM3,Computational Modeling of Biological Systems
312,BIOTECH 3FM3,Food Microbiology
313,BIOTECH 3IV3,Immunology and Virology
314,BIOTECH 3PM3,Pharmacology
315,BIOTECH 4BI3,Bioinformatics
316,BIOTECH 4BL3,Biomaterials and Biocompatibility
317,BIOTECH 4BM3,Biopharmaceuticals
318,BIOTECH 4BS3,Biotechnology Regulations
319,BIOTECH 4GP3,Genomics and Proteomics
320,BIOTECH 4TB3,Advanced Biotechnology
321,BIOTECH 4TR1,Capstone Project I
322,BIOTECH 4TR3,Capstone Project II
323,CAYUGA 1Z03,Introduction to Cayuga Language and Culture
324,CAYUGA 2Z03,Intermediate Cayuga
325,CHEMBIO 2A03,Introduction to Bio-Analytical Chemistry
326,CHEMBIO 2L03,Pharmaceutical Chemistry Laboratory I: Biomolecular Interactions
327,CHEMBIO 2OD3,Organic Chemistry II
328,CHEMBIO 2OG3,Organic Chemistry I
329,CHEMBIO 2P03,Physical Chemistry Tools for Chemical Biology
330,CHEMBIO 2Q03,Inquiry for Chemical Biology
331,CHEMBIO 3AA3,Analytical Tools for Chemical Biology
332,CHEMBIO 3BM3,Implanted Biomaterials
333,CHEMBIO 3EP3 ,Advanced Chemical Biology Placement
334,CHEMBIO 3L03,Chemical Biology Laboratory II
335,CHEMBIO 3OA3,Organic Mechanistic Tools for Chemical Biology
336,CHEMBIO 3OB3,Structural Elucidation of Natural Products and Small Molecules
337,CHEMBIO 3P03,Biomolecular Interactions and Kinetics
338,CHEMBIO 3RP3,Research Practicum in Chemical Biology
339,CHEMBIO 4A03,Bio-Analytical Chemistry and Assay Development
340,CHEMBIO 4G12 ,Senior Thesis in Chemical Biology
341,CHEMBIO 4IB3,Bio-Inorganic Chemistry
342,CHEMBIO 4OA3,Natural Products
343,CHEMBIO 4OB3,Medicinal Chemistry: Drug Design and Development
344,CHEMBIO 4Q03,Peer Tutoring in Chemical Biology
345,CHEMBIO 4RP6 ,Research Project in Chemical Biology
346,CHEMENG 2D04,Chemical Engineering Principles I
347,CHEMENG 2E04,Numerical Methods and Computing for Chemical Engineers
348,CHEMENG 2F04,Chemical Engineering Principles II
349,CHEMENG 2O04,Fluid Mechanics
350,CHEMENG 3A04,Heat Transfer
351,CHEMENG 3BK3,Bio-Reaction Engineering
352,CHEMENG 3BM3,Bioseparations Engineering
353,CHEMENG 3D04,Chemical Engineering Thermodynamics
354,CHEMENG 3G04,Chemical Process Design and Simulation
355,CHEMENG 3I03,Data Acquisition and Analysis
356,CHEMENG 3K04,Introduction to Reactor Design
357,CHEMENG 3L03,Intermediate Laboratory Skills
358,CHEMENG 3M04,Mass Transfer and Stagewise Operations
359,CHEMENG 3P04,Process Control
360,CHEMENG 3Q03,Introduction to Polymer Science
361,CHEMENG 4A03,Energy Systems Engineering
362,CHEMENG 4B03,Polymer Reaction Engineering
363,CHEMENG 4E03,Digital Computer Process Control
364,CHEMENG 4EC3,Electrochemistry and Electrochemical Engineering
365,CHEMENG 4G03,Optimization in Chemical Engineering
366,CHEMENG 4H03,Big Data Methods and Modeling in Chemical and Materials Engineering
367,CHEMENG 4K03,Reactor Design for Heterogeneous Systems
368,CHEMENG 4L03,Advanced Laboratory Skills
369,CHEMENG 4M03,Industrial Separation Processes
370,CHEMENG 4N04,Engineering Economics and Problem Solving
371,CHEMENG 4T03,Applications of Chemical Engineering in Medicine
372,CHEMENG 4W06 ,Chemical Plant Design and Capstone Project
373,CHEMENG 4X03,Polymer Processing
374,CHEMENG 4Y04 ,Senior Independent Project
375,CHEMENG 4Z03,Interfacial Engineering
376,CHEM 1A03,Introductory Chemistry I
377,CHEM 1AA3,Introductory Chemistry II
378,CHEM 1E03,General Chemistry for Engineering I
379,CHEM 1R03,General Chemistry
380,CHEM 2A03,Quantitative Chemical Analysis
381,CHEM 2BC3,Making Chemistry More Sustainable
382,CHEM 2E03,Introductory Organic Chemistry
383,CHEM 2II3,Introductory Inorganic Chemistry: Structure and Bonding
384,CHEM 2LB3,Tools for Chemical Discovery
385,CHEM 2OA3,Organic Chemistry I
386,CHEM 2OB3,Organic Chemistry II
387,CHEM 2OD3,Synthesis and Function of Organic Molecules
388,CHEM 2OG3,Structure and Reactivity of Organic Molecules
389,CHEM 2P03,Applications of Physical Chemistry
390,CHEM 2Q03,Inquiry for Chemistry
391,CHEM 2SC3,Sustainable Chemistry - Green Chemistry
392,CHEM 3AA3,Instrumental Analysis
393,CHEM 3EP3 ,Advanced Chemistry Placement
394,CHEM 3EQ3,Experiential Sustainable Chemistry
395,CHEM 3I03,Industrial Chemistry
396,CHEM 3II3,Introduction to Transition Metal Chemistry
397,CHEM 3LA3,Strategies for Chemical Discovery
398,CHEM 3OA3,Organic Synthesis
399,CHEM 3PA3,Quantum Mechanics and Spectroscopy
400,CHEM 3PC3,Mathematical Tools for Chemical Problems
401,CHEM 3RC3,Radioisotopes in Medicine
402,CHEM 3RP3,Research Practicum in Chemistry
403,CHEM 3SC3,Sustainable Chemistry: Natural Resources and Energy
404,CHEM 4AA3,Recent Advances in Analytical Chemistry
405,CHEM 4D03,Organic Structure and Synthesis
406,CHEM 4G12 ,Senior Thesis
407,CHEM 4IA3,Physical Methods of Inorganic Structure Determination
408,CHEM 4IB3,Bio-Inorganic Chemistry
409,CHEM 4IC3,"Solid State Inorganic Materials: Structures, Properties, Characterization and Applications"
410,CHEM 4II3,Transition Metal Organometallic Chemistry and Catalysis
411,CHEM 4OA3,Natural Products
412,CHEM 4OB3,Polymers and Organic Materials
413,CHEM 4PB3,Computational Models for Electronic Structure and Chemical Bonding
414,CHEM 4Q03,Peer Tutoring in Chemistry
415,CHEM 4RP6 ,Research Project in Chemistry
416,CHEM 4SC3,Sustainable Chemistry - Analysis and Regulation
417,CHEM 4W03,Natural and Synthetic Materials
418,CHINESE 1Z06 ,Mandarin Chinese for Beginners
419,CIVDEM 3CS3,Campaign School
420,CIVDEM 3EL3,Election Law and Policy
421,CIVDEM 3Z03,Canadian Public Sector Management
422,CIVDEM 4ED6,Partnered Learning in Elections and Democracy
423,CIVDEM 4EM3,Elections Management
424,CIVTECH 3GE3,Geotechnical Materials and Analysis
425,CIVTECH 3GT3,Geotechnical Design
426,CIVTECH 3PM3,"Highway Design, Construction, and Maintenance"
427,CIVTECH 3SA3,Structural Analysis
428,CIVTECH 3TP3,Transportation Planning and Modelling
429,CIVTECH 4BC3,Building Science
430,CIVTECH 4BD3,"Bridge Design, Maintenance and Repair"
431,CIVTECH 4LU3,Advanced Land Use Planning
432,CIVTECH 4MH3,Hydraulic Engineering
433,CIVTECH 4RC3,Reinforced Concrete and Masonry Design
434,CIVTECH 4SD3,Structural Steel Design
435,CIVTECH 4UM3,Asset Management
436,CIVTECH 4WT3,Municipal and Environmental Engineering
437,CIVENG 2A03,Surveying and Measurement for Transportation and Construction
438,CIVENG 2B04,Principles of Environmental Engineering
439,CIVENG 2C04,Structural Mechanics
440,CIVENG 2E03,Computer Applications in Civil Engineering
441,CIVENG 2J03,Engineering Geology
442,CIVENG 2O04,Fluid Mechanics
443,CIVENG 2P04,Statics and Mechanics of Materials
444,CIVENG 2X03,Introduction to Civil Engineering
445,CIVENG 3A03,Geotechnical Engineering I
446,CIVENG 3B03,Geotechnical Engineering II
447,CIVENG 3C03,Engineering Systems
448,CIVENG 3G04,Structural Analysis
449,CIVENG 3J04,Reinforced Concrete Design
450,CIVENG 3K03,Introduction to Transportation Engineering
451,CIVENG 3L03,Water Quality
452,CIVENG 3M03,Municipal Hydraulics
453,CIVENG 3P04,Civil Engineering Materials and Design
454,CIVENG 4A04,Engineering Hydrology
455,CIVENG 4BP4,Building Science
456,CIVENG 4CA4,Construction Management and Automation
457,CIVENG 4CC4,Climate Change Mitigation and Adaptation for Civil Engineers
458,CIVENG 4DD4,Structural Dynamics and Seismic Design
459,CIVENG 4G04,Pavement Materials and Design
460,CIVENG 4K04,Modern Methods of Structural Analysis
461,CIVENG 4L04,Design of Water Resources Systems
462,CIVENG 4N04,Steel Structures
463,CIVENG 4P04,Engineering Hydrogeology
464,CIVENG 4S04,Foundation Engineering
465,CIVENG 4SM4,Stormwater Management Modeling and Analysis
466,CIVENG 4T04,Transit Modelling and Intelligent Transportation Systems
467,CIVENG 4TA4,Traffic Analysis: Theory and Simulation
468,CIVENG 4V04,Biological Aspects of Wastewater Treatment
469,CIVENG 4W04,Design of Low Rise Buildings
470,CIVENG 4X06 ,Design and Synthesis Project in Civil Engineering
471,CIVENG 4Y04,Bridges and Other Structural Systems
472,CIVENG 4Z04 ,Independent Study
473,COLLAB 1AS3,Aging and Society
474,COLLAB 2P03,Epidemiology in Public Health
475,COLLAB 2R03,Epidemiological Methods
476,COLLAB 2T03,Aging in Place
477,COLLAB 3IP3,Interprofessional Case Management
478,COLLAB 4H03,Introduction to Concepts in Global Health
479,COMMERCE 1AA3,Introductory Financial Accounting
480,COMMERCE 1B03,Business Environment & Organization
481,COMMERCE 1BA3,Organizational Behaviour
482,COMMERCE 1DA3,Business Data Analytics
483,COMMERCE 1DE0,Business I Orientation
484,COMMERCE 1E03,Business Environment and Organization
485,COMMERCE 1GR0 ,DeGroote Student Experience and Development I
486,COMMERCE 1MA3,Introduction to Marketing
487,COMMERCE 1TS0,Orientation for New Transfer Students
488,COMMERCE 2AB3,Managerial Accounting I
489,COMMERCE 2BC3,Human Resource Management and Labour Relations
490,COMMERCE 2DA3,Decision Making with Analytics
491,COMMERCE 2FA3,Introduction to Finance
492,COMMERCE 2FB3,Managerial Finance
493,COMMERCE 2GR0,DeGroote Student Experience and Development II
494,COMMERCE 2IN0,Career Development Course
495,COMMERCE 2KA3,Information Systems in Management
496,COMMERCE 2MA3,Introduction to Marketing
497,COMMERCE 2NG3,Negotiations
498,COMMERCE 2OC3,Operations Management
499,COMMERCE 2QA3,Applied Statistics for Business
500,COMMERCE 3AB3,Intermediate Financial Accounting I
501,COMMERCE 3AC3,Intermediate Financial Accounting II
502,COMMERCE 3DA3,Predictive Analytics
503,COMMERCE 3FA3,Managerial Finance
504,COMMERCE 3FB3,Securities Analysis
505,COMMERCE 3FC3,International Finance
506,COMMERCE 3FD3,Financial Modelling
507,COMMERCE 3FH3,Alternative Investments and Portfolio Management
508,COMMERCE 3FI3,Market Trading with Options and Futures
509,COMMERCE 3FK3,Intermediate Corporate Finance
510,COMMERCE 3FL3,Sustainable and Social Finance
511,COMMERCE 3FM3,The History of Finance
512,COMMERCE 3FN3,Big Data in Finance
513,COMMERCE 3GR0,DeGroote Student Experience and Development III
514,COMMERCE 3KA3,System Analysis and Design
515,COMMERCE 3KD3,Database Design Management and Applications
516,COMMERCE 3KE3,Management of Enterprise Data Analytics
517,COMMERCE 3MA3,Marketing Research
518,COMMERCE 3MB3,Consumer Behaviour
519,COMMERCE 3MC3,Applied Marketing Management
520,COMMERCE 3MD3,Introduction to Contemporary Applied Marketing
